테이블명,컬럼명,타입,제약조건,기본값,설명
wallet_groups,name,TEXT,NOT NULL,-,그룹명
wallet_groups,color,TEXT,-,'#1A73E8',그룹 색상
wallet_groups,order_index,INTEGER,-,0,정렬 순서
wallet_groups,created_at,DATETIME,-,CURRENT_TIMESTAMP,생성일
card_view_events,id,TEXT,PRIMARY KEY,lower(hex(randomblob(16))),이벤트 ID
card_view_events,card_id,TEXT,FOREIGN KEY (cards.id) ON DELETE CASCADE,-,명함 ID
card_view_events,viewed_at,DATETIME,-,CURRENT_TIMESTAMP,조회 시각
card_view_events,source,TEXT,-,-,유입 경로
card_rewards,id,INTEGER,PRIMARY KEY AUTOINCREMENT,-,보상 ID
card_rewards,user_id,TEXT,FOREIGN KEY (users.id) ON DELETE CASCADE,-,사용자 ID
card_rewards,event_type,TEXT,NOT NULL,-,이벤트 타입
card_rewards,reward_type,TEXT,NOT NULL,-,보상 타입
card_rewards,amount,INTEGER,NOT NULL,-,보상 수량
card_rewards,card_id,TEXT,FOREIGN KEY (cards.id) ON DELETE SET NULL,-,관련 명함 ID
card_rewards,created_at,DATETIME,-,CURRENT_TIMESTAMP,생성일
game_user_data,user_id,TEXT,PRIMARY KEY & FOREIGN KEY (users.id) ON DELETE CASCADE,-,사용자 ID
game_user_data,hearts_balance,INTEGER,-,300000,하트 잔액
game_user_data,heart_allowance,INTEGER,-,1,하트 허용치
game_user_data,stars_purchased,INTEGER,-,0,구매한 별 수
game_user_data,coins_earned,INTEGER,-,0,획득 코인
game_user_data,coins_withdrawn,INTEGER,-,0,출금 코인
game_user_data,farm_unlocked,TEXT,-,"{""1"":true,""2"":false,""3"":false,""4"":false}",농장 잠금해제 상태
game_user_data,test_mode,INTEGER,-,0,테스트 모드 여부
game_user_data,created_at,DATETIME,-,CURRENT_TIMESTAMP,생성일
game_user_data,updated_at,DATETIME,-,CURRENT_TIMESTAMP,수정일
game_pots,id,INTEGER,PRIMARY KEY AUTOINCREMENT,-,화분 ID
game_pots,user_id,TEXT,FOREIGN KEY (users.id) ON DELETE CASCADE,-,소유자 ID
game_pots,farm_id,INTEGER,NOT NULL,-,농장 번호 (1-4)
game_pots,level,INTEGER,-,0,현재 레벨 (0-8)
game_pots,is_in_warehouse,INTEGER,-,0,창고 보관 여부
game_pots,created_at,DATETIME,-,CURRENT_TIMESTAMP,생성일
game_farm_levels,farm_id,INTEGER,PRIMARY KEY (복합),-,농장 번호 (1-4)
game_farm_levels,level,INTEGER,PRIMARY KEY (복합),-,레벨 (1-8)
game_farm_levels,hearts_required,INTEGER,-,0,필요 하트 수
game_farm_levels,stars,INTEGER,-,0,필요 별 수
game_farm_levels,coins,INTEGER,-,0,보상 코인
game_farm_levels,hearts_reward,INTEGER,-,0,보상 하트
